Date,Adani Ports & Special Economic Zone Ltd.,Asian Paints Ltd.,Axis Bank Ltd.,Bajaj Auto Ltd.,Bajaj Finance Ltd.,Bajaj Finserv Ltd.,Bharat Petroleum Corpn. Ltd.,Bharti Airtel Ltd.,Bharti Infratel Ltd.,Britannia Industries Ltd.,Cipla Ltd.,Coal India Ltd.,Dr. Reddy'S Laboratories Ltd.,Eicher Motors Ltd.,G A I L (India) Ltd.,Grasim Industries Ltd.,H C L Technologies Ltd.,H D F C Bank Ltd.,Hero Motocorp Ltd.,Hindalco Industries Ltd.,Hindustan Unilever Ltd.,Housing Development Finance Corpn. Ltd.,I C I C I Bank Ltd.,I T C Ltd.,Indian Oil Corpn. Ltd.,Indusind Bank Ltd.,Infosys Ltd.,J S W Steel Ltd.,Kotak Mahindra Bank Ltd.,Larsen & Toubro Ltd.,Mahindra & Mahindra Ltd.,Maruti Suzuki India Ltd.,N T P C Ltd.,Nestle India Ltd.,Oil & Natural Gas Corpn. Ltd.,Power Grid Corpn. Of India Ltd.,Reliance Industries Ltd.,Shree Cement Ltd.,State Bank Of India,Sun Pharmaceutical Inds. Ltd.,Tata Consultancy Services Ltd.,Tata Motors Ltd.,Tata Steel Ltd.,Tech Mahindra Ltd.,Titan Company Ltd.,U P L Ltd.,Ultratech Cement Ltd.,Vedanta Ltd.,Wipro Ltd.,Zee Entertainment Enterprises Ltd.
01-Jan-18,399.65,1143.65,565.5,3289.25,1725.65,5171.85,508.6,484.71,369.95,2369.12,611.5,266.65,2404.15,29893.15,186.99,1143.95,439.35,927.25,3749.1,271.15,1344.5,1683.75,310.3,262.3,194.97,1623.85,516.77,265.8,999.95,1260.7,744.65,9651.9,147.12,7863.2,192.35,200.2,901.21,17929.05,307.1,574.05,1322.8,424.45,711.11,503.1,852.45,503.83,4256.05,325.45,237.41,579.2
02-Jan-18,397.4,1142.75,559.5,3294.75,1724.65,5101.1,499.8,474.29,378.8,2328.03,607.8,270.05,2409.2,28670.15,185.38,1139.55,446.4,936.17,3743.85,271.9,1338.6,1703.25,309.7,260.75,193.2,1643.95,514.85,264.55,1003.2,1249.75,752.9,9554.05,149.08,7863.55,196.85,200.75,902.59,18000.35,303.25,572.15,1315.6,439.3,718.1,513.95,845.15,515.63,4252.3,327.75,239.02,578.15
03-Jan-18,407.65,1141.9,560.45,3241.05,1715.3,5099.45,494.9,475.8,378.65,2340.47,606.8,271.85,2339,28814.35,183.79,1127.2,448.65,926.33,3755.2,276.5,1350.35,1700.8,315,261.15,193.15,1630.25,510.65,268.7,1000.1,1275.3,754.9,9416.6,147.54,7860.1,193.45,201.65,906.21,18099.55,302.85,569.05,1319.33,433.9,723.66,519.45,856.3,517.2,4301.95,332.5,232.46,579.75
04-Jan-18,409.85,1172.05,559.9,3264.45,1754,5062.55,491.5,480.21,379.05,2313.2,616.75,277.8,2410.8,28570.75,186.26,1170.3,446.55,929.95,3738.9,279.8,1352.25,1703.2,314.7,261.55,193.65,1646.6,507.7,277.15,1000.4,1315.7,756,9386.25,147.58,7869.25,199.5,200.35,911.66,17978.35,308.5,581.2,1328.55,429.95,748.57,522.55,892.9,521.1,4345.5,339.1,233.74,580
05-Jan-18,423.8,1185.25,563.25,3279.85,1814.5,5127.2,487.7,495.82,372.6,2322.05,615.15,278.75,2473.4,29237,185.4,1214.2,450.02,931.8,3744.65,276.4,1356.55,1725.2,312.9,262.9,191.93,1698.2,506,285.1,1003.05,1314.9,756.35,9433.85,147.92,7856.75,198.45,201.25,914.58,18964.5,306.35,578.75,1344.6,431.6,758.86,525.45,909.7,516.13,4395.8,339.55,232.16,586.85
08-Jan-18,422.9,1182,565.45,3275.75,1836.85,5221.25,497.2,474.1,374.4,2346.88,615.05,287.45,2476.6,29197.4,186.52,1203,450.25,930.3,3786.75,276.15,1368.4,1740.95,314.15,265.6,194.28,1719.9,518.02,286,1006.1,1338.25,759.9,9448.95,148.04,7941.15,197.4,200.55,919.83,19374.35,305.8,591.6,1357.2,433.55,756.94,536.3,926.1,522.9,4425.3,340.25,233.36,593.9
09-Jan-18,421.1,1193.05,565.3,3243.5,1819.5,5156.4,496.1,468.09,368.4,2320.97,615.6,304.05,2457.8,28596.95,187.86,1237.5,446.93,931.85,3749.45,271.5,1361.3,1735.05,312.6,270.55,196.2,1725.05,520.67,284,1009.75,1332.75,762.45,9383.55,147.25,7779.25,197,201,932.11,19430.1,304.3,586.5,1354.5,437.55,760.44,533.85,932.95,527.07,4426.85,337.7,237.9,580.05
10-Jan-18,423.45,1177.4,562.8,3207.4,1802.2,5199.55,494.3,464.97,370.8,2337.38,619.75,308.3,2425.8,28097.5,186.04,1235.5,457.93,932.1,3736.9,268.8,1365.8,1726.45,312,269.4,194.78,1734.1,526.12,282.8,1002.25,1323.75,759.85,9375.85,144.96,7846.65,197.9,199.85,933.5,19501.8,301.1,585.1,1403.3,433.3,760.98,542.1,917.6,519.23,4403.2,334.8,245.02,580.5
11-Jan-18,425.5,1188.95,558.75,3193.4,1780.35,5146.4,492.4,472.63,367.75,2360.78,612.35,308.1,2425.35,28444.7,185.81,1244,458.45,936.27,3705.65,267.75,1378.65,1741.35,309.5,269.8,194.45,1700.3,537.9,282.55,1017.65,1323.55,766.65,9339.8,144.58,7874.3,197.9,197.85,928.94,19536.1,302.2,587.95,1395.25,434.75,759.11,551.7,906.9,524.13,4406.1,333.9,240.83,580
12-Jan-18,423.3,1189.7,555.1,3175.35,1770.1,5057.3,489.9,467.86,374.8,2354.15,612.1,309,2447.65,28649.75,187.93,1221.65,462.95,932.65,3687.35,268.85,1374,1760.95,317.7,267.55,194.53,1705.25,539.23,286.8,1023.35,1329.15,767.5,9459.15,143.75,7789.25,200.75,196.35,940.09,18872.3,302.25,583.45,1388.17,437.1,758.42,550.75,903.8,516.9,4405.5,339.55,239.1,591
15-Jan-18,420.6,1204.05,560.55,3166,1738.15,5010.35,487.2,463.22,370.5,2359.93,610.25,305.9,2431.75,27981.5,183.47,1242.85,454.62,948.88,3628.8,266.7,1367.2,1871.2,329.3,267.6,195.43,1682.4,540.58,285,1038.35,1325.95,759.2,9358.45,144.12,7757.95,196.6,199.3,940.24,19081.5,302.6,576.45,1373.05,432.35,771.47,543.75,918.25,516.23,4520.15,339.2,236.25,606.15
16-Jan-18,423.55,1188.75,563.2,3160.05,1687.35,4956.8,479.45,456.56,367.95,2338.68,601.4,291.6,2468.7,27891.2,179.4,1229,474.62,950.08,3586.1,260.55,1382,1845.95,334.1,261.7,192.07,1664.6,561.42,281.2,1033.25,1326.2,746.7,9322.05,144.37,7774.6,197.2,196.2,914.28,19104.25,296.15,577.7,1425.42,421.9,753.99,557.65,889.4,511.23,4545.1,330.15,248.96,613.4
17-Jan-18,433.4,1193.75,585.2,3194.15,1701.2,4964.9,479.85,459,366.1,2374.9,607.15,290.95,2491.85,28222.85,180.21,1248,476.43,945.25,3566.85,262.75,1371.2,1858.35,343.25,266.05,192.03,1657.45,576.05,285.05,1027.1,1353.35,745.35,9313.9,145.21,7761.9,195.7,197.4,915.82,18975,307.1,583.75,1444.47,422.95,762.11,554.9,893.1,520.5,4544.25,334.9,244.27,593.1
18-Jan-18,416.25,1188.25,584.8,3201.2,1660.7,4922.6,470.25,454.5,343.8,2315.75,603.65,283.05,2461.5,27954.4,175.69,1217.6,477.12,967.15,3593.35,253.9,1356.95,1896.8,346.15,273.4,189.03,1680.1,576.35,279.8,1046.5,1360.8,759.25,9368.7,143.46,7736.2,194.1,197,911.06,18421.6,303.25,576.7,1459.1,418.95,740.21,552.65,885.85,533.67,4408.65,326.7,244.01,595.85
19-Jan-18,433.45,1189.9,590.25,3210.4,1701.9,4973.05,477.3,457.16,346.05,2342.22,602.75,284,2490.35,28009.45,175.78,1223.55,479.15,976.1,3589.75,258,1362.45,1901.25,353.6,274.55,192.97,1684,571.73,282.1,1060.55,1371.45,765.4,9323.95,143.96,7680.65,193.7,196.1,922.55,18354.6,309.25,572.1,1479.65,418.05,741.44,552.9,891.45,534.9,4300,331.65,246.71,600.35
