Id,PE,PB,Beta,ROE,g,nic2,Returns
1,195.06,10.87,0.92,6.95,-0.136319473,22,0.168473708
2,191.42,7.12,0.88,6.15,-0.279094884,27,0.543088156
3,54.54,5.87,,11.26,0.062539201,27,0.819595405
4,19.16,2.4,1.04,11.7,-0.123449855,23,0.535251754
5,23.16,4.65,0.74,12.58,-0.148414479,24,0.045812546
6,71.46,8.01,1.25,11.29,0.015516142,24,0.998810872
7,23.25,4.86,1.41,21.98,0.289544413,64,0.364766596
8,25.02,8.15,1.08,34.79,0.170412805,21,-0.131745019
9,45.02,6.64,1.04,19.16,0,20,0.465257532
10,50.77,5.78,,12.87,0.223942243,64,0.418359824
11,51.65,13.74,0.43,27.44,0.044145991,21,0.250011098
12,288.24,13.18,2.06,9.35,-0.187989683,46,2.249087686
13,1028.15,98.66,,15.63,0.979746835,46,0.054579137
14,40.69,4.61,1.44,9.41,-0.040529551,52,0.541085271
15,82.82,22.85,,27.5,-0.10140542,52,2.552316294
16,2648.14,31.52,1.78,-0.48,-0.132412967,46,2.872571429
17,227.35,2.17,1.59,0.77,-0.341812564,64,0.324705882
18,,9.15,1.29,-34.5,-0.403496064,47,0.303743961
19,52.1,8.91,1.48,17.62,0.132430956,20,0.101568335
20,63.29,8.48,1.19,2.72,0,52,0.004761905
21,421.63,52.81,,15.76,0.446951639,73,0.235642517
22,23.06,5.11,0.96,25.28,0.188992783,21,0.335537595
23,61.29,8.37,0.63,16.46,-0.085461304,20,-0.064638466
24,42.22,5.76,1.32,3.47,-0.507919431,64,0.030797947
25,16.06,4.03,0.62,27.33,0.200000935,21,-0.257847642
26,21.95,4.62,0.4,24.23,0.096775347,21,0.294306609
27,25.38,10.87,1.13,44.44,0.209779714,20,1.652515046
28,,,1.64,,0.661108299,13,0
29,26.84,3.84,0.95,16.45,0.046024534,27,-0.221061746
30,113.61,5.39,0.94,3.96,-0.227084253,28,0.344206902
31,29.09,2.43,1.1,8.42,-0.031229408,23,0.774161141
32,12.77,2.7,,34.76,0.735811475,66,2.545629345
33,154.27,8.52,0.71,11.95,0,86,1.021323773
34,18.05,1.22,1.43,8.43,0.068305317,22,0.226123596
35,95.93,4.81,1.26,12.33,0,23,0.322912902
36,,4.18,1.5,-4.41,-0.122553751,29,0.263488738
37,6.04,0.91,1.49,14.56,-0.01774429,42,0.111710739
38,91.22,23.63,0.7,28.87,0.075864749,20,0.206818593
39,,3.31,1.05,-2.37,-0.120992537,86,0.317757009
40,113.93,17.89,0.73,21.98,0.220545278,22,0.553726611
41,171.28,27.14,0.59,22.74,-0.021780303,46,-0.303461638
42,31.62,5.4,0.8,21.34,-0.090172575,20,0.448142331
43,18.14,3.56,1.27,21.49,0.192882621,21,-0.189948985
44,22.96,4.96,1.5,22.6,0.026253576,10,0.066673044
45,176.53,15.09,1.01,9.94,-0.032352361,47,0.424790129
46,,1.92,1.29,7.06,0.003897387,64,0.269804174
47,67.83,4.08,0.67,36.47,0.308702191,34,1.160309563
48,49.24,1.87,1.8,3.08,0,28,0.38784251
49,28.28,1.28,1.01,4.47,-0.108692566,64,0.857961886
50,21.1,4.31,0.84,20.22,-0.084079243,30,0.094844732
51,16.3,3.87,0.68,30.65,0.089783459,20,0.189920672
52,263.33,4.64,1.28,12.31,-0.07264207,46,1.197117353
53,92.02,9.22,1.3,11.68,-0.014253318,64,0.408313189
54,431.31,39.98,1.24,4.87,-0.51907601,64,0.884183757
55,26.85,3.15,0.86,2.02,-0.804547886,64,0.389559734
56,16.42,3.67,1.86,29.61,0.329283512,20,3.561150691
57,30.62,5.61,0.98,20.94,0.157590897,22,0.502976371
58,29.52,1.79,0.92,13.53,0,34,0.036690086
59,8.06,1.49,1.23,19.06,0.000607659,10,1.07994186
60,24.73,3.74,1.85,13.53,0.222824034,64,-0.296581728
61,12.61,0.42,1.46,1.2,-0.039323772,64,0.270951993
62,,0.41,1.81,5.41,-0.02064764,64,0.189938398
63,9.02,0.8,1.06,5.38,0.105247835,64,0.406130268
64,,11.77,1.11,-4.94,-0.42307409,47,0.100053809
65,44.42,9.83,0.68,19.25,0.188207339,20,-0.007386922
66,105.21,23.85,1,23.06,0.040165956,20,0.09803147
67,25.08,1.81,1.24,21.94,0,26,0.162920523
68,23.05,2.86,1.1,19.01,0,26,0.619841601
69,212.95,4.48,1.34,5.55,-0.19776947,29,0.479535504
70,,0.45,1.55,-4.86,0,25,0.540389972
71,14.21,2.04,1.08,7.67,0,19,0.264628706
72,27.35,6.06,1.43,32.41,0,20,0.294138853
73,,3.74,0.8,-28.3,0.164916646,61,0.315577791
74,194.93,7.21,0.77,3.63,-0.144573583,21,-0.233455092
75,21.68,1.51,1.15,9.61,0,23,0.826285873
76,41.36,5.3,1.46,14.86,0.109085583,62,0.666464156
77,25.8,2.83,1.39,14.36,0,21,-0.452881524
78,109.82,16.46,0.73,15.25,0.037734604,52,0.568747331
79,511.31,9.07,1.02,7.47,-0.19661229,27,0.023717389
80,,37.94,1.9,2.27,0.112400367,34,-0.075921575
81,61.26,4.21,1.21,5.55,-0.022812178,28,0.123203028
82,29.88,1.97,1.2,5.43,-0.179944092,41,0.607185869
83,48.19,30.32,0.84,46.35,0.115665682,10,0.145147986
84,,9.21,,-37.05,-0.382466168,56,-0.100854701
85,23.01,4.32,0.77,18.44,-0.100478717,10,0.506163616
86,10.43,0.77,1.06,8.16,-0.106568462,46,0.357398665
87,67.46,1.91,,11.4,0.312117941,64,0.371703738
88,26.88,3.98,0.67,12.34,0.025132018,21,0.161719979
89,15.1,2.68,1.37,19.16,-0.005924766,64,0.232879455
90,,0.57,1.78,6.12,0.483095044,64,0.210546724
91,21.89,5.31,1.5,38.3,0,46,0.621445498
92,35.64,3.47,1.6,9.23,-0.009446763,64,0.597010228
93,42.3,5.15,1.02,12.71,0.017556254,23,1.01405672
94,21.16,8.61,0.83,41.92,-0.217102515,19,0.096708655
95,12.75,1.44,1.29,13.96,0.124991521,22,0.205744947
96,,0.42,1.43,-4.31,-0.039396618,64,0.476534296
97,44.29,8.7,1.05,25.56,0.465584385,64,1.248452448
98,33.63,4.38,1.36,16.43,-0.06935967,16,0.781377387
99,28.1,1.29,1.73,0.88,-0.237997785,17,1.138354831
100,45.89,5.31,0.96,12.3,-0.001238114,46,0.26910774
101,,2.65,,-8.05,-0.686189816,55,-0.047437296
102,6.48,1.91,1.06,29.26,0.016823543,46,0.365093304
103,666.59,9.08,0.77,1.92,-0.36039604,64,0.254848937
104,25.74,3.36,1.06,17.09,0.100167298,64,0.481877983
105,24.59,3.4,0.58,13.22,0.041083719,21,0.159217025
106,34.43,2.3,0.89,10.64,-0.008352065,64,-0.144641866
107,5.33,4.84,0.74,73.23,0,64,0.086747877
108,11.21,1.25,0.77,18.05,0,30,-0.001073681
109,51.09,9.25,1.08,12.69,0.000954047,62,0.914699739
110,47.88,30.62,0.52,75.03,0.064653347,20,0.106053346
111,43.04,3.09,,45.68,0.073417166,63,1.069114471
112,,2.39,1.01,3.68,0,49,0.812296519
113,17.18,4.6,0.93,27.37,0.079855537,20,-0.031856126
114,133.92,3.32,,4.52,0.205866812,64,-0.100681352
115,85.69,20.06,0.72,22.93,-0.224009508,70,0.454711041
116,57.1,14.58,0.78,35.71,0.059210668,27,0.256733675
117,28.55,3.61,1,14.4,-0.144902825,28,0.809154991
118,23.32,2.42,0.74,12.49,-0.079767245,62,0.986648475
119,11,1.08,1.25,10.19,0.012697395,64,-0.191614256
120,9.91,1.36,1.38,15.06,0.068544447,34,1.341945289
121,,2.11,1.93,3.95,-0.28705963,41,0.443203779
122,74.66,18.64,0.61,27.81,0.133760457,20,0.194756554
123,214.56,2.75,,1.77,0,64,1.12521417
124,34.19,7.36,1.37,21.27,-0.182081493,20,1.511918034
125,,2.23,2.04,4.42,-0.438838023,93,0.389978214
126,141.25,3.57,2.02,6.26,0,64,-0.378050676
127,17.83,4.65,0.87,28,0.211120217,20,0.061955532
128,17.59,1.42,1.62,12.48,0,42,0.332951362
129,3.16,0.6,1.44,-30.05,0,61,0.160447761
130,,0.44,1.17,-4.94,-0.559948332,20,0.349423631
131,55.79,11.61,0.91,23.57,0.241172506,21,0.356125875
132,113.89,24.33,1.05,25.3,0,26,0.608407598
133,79.4,16.45,0.43,25.08,0.158467286,86,0.770371977
134,29.95,5.2,0.7,13.59,0.123602465,21,-0.059105493
135,208.18,2.52,1.18,42.89,0.543705672,10,0.176196712
136,,1.88,1.09,-11.74,-0.672685809,55,0.178789561
137,52,11.59,0.82,21.38,0.068336875,22,-0.071216029
138,15.29,2.66,0.87,10.23,0,63,1.469546021
139,,1.92,1.95,18.9,5.583342815,64,0.158278629
140,57.15,7.57,1.03,14.79,-0.049966835,30,0.115472757
141,51.3,6.33,1.1,13.86,-0.005616536,28,0.29248366
142,55.09,10.3,0.91,15.65,0,20,0.386076696
143,58.1,7.38,1.17,15.61,-0.037820996,29,0.1854118
144,14.15,2,1.43,18.62,0,34,-0.076579451
145,15.69,1.26,1.77,8.34,9.09805978,64,0.846549192
146,24.25,5.23,0.3,24.39,0.08024292,21,0.334770239
147,24.18,3.34,1.56,19.71,0.210252511,28,0.108695652
148,23.83,2.39,0.77,11.51,0.01871661,27,-0.028235294
149,19.11,3.3,0.99,16.59,0,21,0.046522132
150,9.86,0.85,1.37,10.38,0.036619774,64,0.222638681
151,64.53,10.93,,16.78,0.087408313,20,0.207020952
152,15.62,1.87,1.08,16.01,0,27,0.372842014
153,16.54,3.4,0.89,30.43,0.172086227,22,0.319170343
154,23.32,3.04,1.33,17.37,0.39869786,63,0.877832512
155,562.5,1.31,0.99,0.05,-0.45844079,64,0.775451031
156,,1.78,1.99,-24.99,0,46,-0.164705882
157,,1.94,1.96,0.83,0,47,-0.418678526
158,8.4,1.18,1.13,11.36,-0.201962513,52,0.169979716
